mac_address,symbol,windows_address
10102526,__ct__8CMacWaveFP6VSWAVEUcPc,
10102790,__dt__8CMacWaveFv,
101027e2,__ct__12CMacSoundDevFUcUcUli,
10102a26,__dt__12CMacSoundDevFv,
10102ac6,GetDeviceInfo__12CMacSoundDevFv,
10102af8,Initialise__12CMacSoundDevFUcUcUl,
10102bf8,Reinitialise__12CMacSoundDevFUcUcUl,
10102c2a,Detect__12CMacSoundDevFv,
10102c56,ShutDown__12CMacSoundDevFv,
10102cf2,HasActiveVoices__12CMacSoundDevFv,
10102d28,StopAllMusic__12CMacSoundDevFv,
10102d54,StopAllEffects__12CMacSoundDevFv,
10102d8e,IsMusicCapable__12CMacSoundDevFv,
10102dbc,IsEffectCapable__12CMacSoundDevFv,
10102df2,AllocatePatch__12CMacSoundDevFP7VSPATCHPUlUcUc,
10102e2e,AllocateDrumPatch__12CMacSoundDevFP7VSPATCHPUlUcUc,
10102e8a,AllocateEffect__12CMacSoundDevFP7VSPATCHPUl,
10102f5e,FreePatch__12CMacSoundDevFUl,
10102f88,FreeDrumPatch__12CMacSoundDevFUl,
10102fc6,FreeAllPatches__12CMacSoundDevFv,
10102ff4,FreeEffect__12CMacSoundDevFUl,
10103070,FreeAllEffects__12CMacSoundDevFv,
101030e4,GetMasterVolume__12CMacSoundDevFv,
1010314e,SetMasterVolume__12CMacSoundDevFUc,
101031a6,GetMusicVolume__12CMacSoundDevFv,
101031e0,SetMusicVolume__12CMacSoundDevFUc,
10103220,GetEffectVolume__12CMacSoundDevFv,
1010325c,GetNumEffectsChannels__12CMacSoundDevFv,
10103298,GetNumMusicChannels__12CMacSoundDevFv,
101032cc,SetEffectVolume__12CMacSoundDevFUc,
1010330c,MusicPlayNote__12CMacSoundDevFUcUcUc,
1010333c,MusicSetNoteVolume__12CMacSoundDevFUcUcUc,
10103372,MusicStopNote__12CMacSoundDevFUcUcUc,
101033a2,MusicSetChannelVolume__12CMacSoundDevFUcUc,
101033dc,MusicSetChannelPatch__12CMacSoundDevFUcUl,
10103412,MusicSetPitchWheel__12CMacSoundDevFUcUs,
10103446,MusicMiscControlMessage__12CMacSoundDevFUcUcUc,
10103480,EffectPlay__12CMacSoundDevFUlUcUc,
101034d4,EffectPlay__12CMacSoundDevFUlUsUc,
1010370c,EffectStop__12CMacSoundDevFUcUc,
101037a0,MachineSoundDetect__FPP16CBaseSoundDeviceUcUcUcPUcPP14CPVMusicDevicei,473390
101038e8,InitSound__FUcUciP4CWndUc,45b770
10103a48,EndSound__Fv,45b7c0
10103aa6,_QT_Init__Fv,
10103be8,_QT_Quit__Fv,
10103c04,Initialise__8CAnimWndFv,46dd60
10103c50,__ct__8CAnimWndFv,46ddc0
10103cd2,__dt__8CAnimWndFv,46de70
10103d60,Create__8CAnimWndFRC7CVSRectP6CPVWndPc,
10103df8,_OnCreate__8CAnimWndFv,46ded0
10103e4c,Pansy__8CAnimWndFv,
10103f50,_OnMove__8CAnimWndFv,
10103fd8,KillPansy__8CAnimWndFv,
101040d4,_OnDestroy__8CAnimWndFv,46df40
1010412e,Refresh__8CAnimWndFv,46e120
1010414e,SetAnim__8CAnimWndFUl,46e130
10104516,SetMovieWindow__8CAnimWndFv,46dfe0
101045ba,FreeMovieWindow__8CAnimWndFv,
1010460e,Process__8CAnimWndFv,
1010467e,OnStop__8CAnimWndFv,46e400
1010469c,Play__8CAnimWndFv,46e300
101046d8,Stop__8CAnimWndFv,46e390
10104716,Resume__8CAnimWndFv,46e3c0
