id,start,end,function_count,code_bytes
text-142,0x0041D350,0x0041DD70,10,1111
text-143,0x0041DD70,0x0041E140,16,805
text-144,0x0041E140,0x0041E640,11,1205
text-145,0x0041E640,0x0041EB90,16,586
text-146,0x0041EB90,0x0041F2E0,14,1119
text-147,0x0041F2E0,0x0041F820,4,1094
text-148,0x0041F820,0x0041FE30,12,1117
text-149,0x0041FE30,0x00420350,16,1188
text-150,0x00420350,0x00420B50,14,1038
text-151,0x00420B50,0x004212C0,10,1046
text-152,0x004212C0,0x00421AA0,15,1433
text-153,0x00421AA0,0x00421EF0,7,1041
text-154,0x00421EF0,0x00422710,13,1155
text-155,0x00422710,0x00422C00,8,1210
text-156,0x00422C00,0x00423110,16,484
text-157,0x00423110,0x00423650,8,1286
text-158,0x00423650,0x00423D40,6,1107
text-159,0x00423D40,0x00424560,11,1058
text-160,0x00424560,0x00424D20,11,1030
text-161,0x00424D20,0x00425440,6,1709
text-162,0x00425440,0x00425C80,10,1982
text-163,0x00425C80,0x004266E0,8,1208
text-164,0x004266E0,0x00426C00,14,1149
text-165,0x00426C00,0x00427050,5,1074
text-166,0x00427050,0x00427890,11,1260
text-167,0x00427890,0x00427E10,12,1065
text-168,0x00427E10,0x00428AB0,16,1317
text-169,0x00428AB0,0x00428F30,3,1078
text-170,0x00428F30,0x00429380,3,1045
text-171,0x00429380,0x0042A030,13,1114
text-172,0x0042A030,0x0042A4E0,7,1034
text-173,0x0042A4E0,0x0042AB90,11,1115
text-174,0x0042AB90,0x0042AFC0,2,1060
text-175,0x0042AFC0,0x0042B440,4,1120
text-176,0x0042B440,0x0042BFE0,15,1899
text-177,0x0042BFE0,0x0042C4D0,5,1211
text-178,0x0042C4D0,0x0042CD70,12,1258
text-179,0x0042CD70,0x0042D380,1,1545
text-180,0x0042D380,0x0042D800,5,1094
text-181,0x0042D800,0x0042DD00,5,1256
text-182,0x0042DD00,0x0042E760,14,1050
text-183,0x0042E760,0x0042EEB0,6,1770
text-184,0x0042EEB0,0x0042F350,11,1048
text-185,0x0042F350,0x0042FFE0,9,1630
text-186,0x0042FFE0,0x004305F0,9,1131
text-187,0x004305F0,0x00430A20,2,1069
text-188,0x00430A20,0x004314F0,9,1067
text-189,0x004314F0,0x00431990,15,1055
text-190,0x00431990,0x00431EB0,3,1194
text-191,0x00431EB0,0x004324C0,16,659
text-192,0x004324C0,0x00432AE0,16,544
text-193,0x00432AE0,0x00432FE0,6,1215
text-194,0x00432FE0,0x004334F0,1,1293
text-195,0x004334F0,0x00433FB0,3,2736
text-196,0x00433FB0,0x004349E0,2,2151
text-197,0x004349E0,0x00434F50,6,1063
text-198,0x00434F50,0x00436480,11,1094
text-199,0x00436480,0x00436E40,11,2039
text-200,0x00436E40,0x004372F0,6,1059
text-201,0x004372F0,0x00437840,8,1107
text-202,0x00437840,0x00437D00,5,1079
text-203,0x00437D00,0x00438170,5,1091
text-204,0x00438170,0x00439340,6,1404
text-205,0x00439340,0x00439520,16,209
text-206,0x00439520,0x004397A0,16,371
